Patient_ID	Gene	Value	Hypermethylated
TCGA-BH-A0HY	AKT1	0.01025	FALSE
TCGA-BH-A0RX	AKT1	0.01425	FALSE
TCGA-BH-A0W3	AKT1	0.01295	FALSE
TCGA-BH-A0W4	AKT1	0.0141	FALSE
TCGA-BH-A0W5	AKT1	0.0139	FALSE
TCGA-BH-A0WA	AKT1	0.011800000000000001	FALSE
TCGA-BH-A18V	AKT1	0.01705	FALSE
TCGA-BH-A1EN	AKT1	0.0174	FALSE
TCGA-BH-A1EO	AKT1	0.017075	FALSE
TCGA-BH-A1ES	AKT1	0.015983333333333332	FALSE
TCGA-BH-A1ET	AKT1	0.013049999999999999	FALSE
TCGA-BH-A1EU	AKT1	0.0135	FALSE
TCGA-BH-A1EV	AKT1	0.015075	FALSE
TCGA-BH-A1EW	AKT1	0.016175000000000002	FALSE
TCGA-BH-A1EX	AKT1	0.01355	FALSE
TCGA-BH-A1EY	AKT1	0.0157	FALSE
TCGA-BH-A1F0	AKT1	0.015825000000000002	FALSE
TCGA-BH-A1F2	AKT1	0.014825000000000001	FALSE
TCGA-BH-A1F5	AKT1	0.015075	FALSE
TCGA-BH-A1F6	AKT1	0.0144	FALSE
TCGA-BH-A1F8	AKT1	0.0149	FALSE
TCGA-BH-A1FB	AKT1	0.015325	FALSE
TCGA-BH-A1FC	AKT1	0.015725	FALSE
TCGA-BH-A1FD	AKT1	0.015675	FALSE
TCGA-BH-A1FE	AKT1	0.0172	FALSE
TCGA-BH-A1FG	AKT1	0.014374999999999999	FALSE
TCGA-BH-A1FH	AKT1	0.013999999999999999	FALSE
TCGA-BH-A1FJ	AKT1	0.015825	FALSE
TCGA-BH-A1FL	AKT1	0.013250000000000001	FALSE
TCGA-BH-A1FM	AKT1	0.016325	FALSE
TCGA-BH-A1FN	AKT1	0.01905	FALSE
TCGA-BH-A1FR	AKT1	0.015075	FALSE
TCGA-BH-A1FU	AKT1	0.0226	FALSE
TCGA-BH-A201	AKT1	0.0182	FALSE
TCGA-BH-A202	AKT1	0.01685	FALSE
TCGA-BH-A203	AKT1	0.019025	FALSE
TCGA-BH-A204	AKT1	0.018625	FALSE
TCGA-BH-A208	AKT1	0.019025	FALSE
TCGA-BH-A209	AKT1	0.01555	FALSE
TCGA-BH-A28O	AKT1	0.01735	FALSE
TCGA-BH-A28Q	AKT1	0.02	FALSE
TCGA-BH-A2L8	AKT1	0.0163	FALSE
TCGA-BH-A42T	AKT1	0.0188	FALSE
TCGA-BH-A42U	AKT1	0.0169	FALSE
TCGA-BH-A42V	AKT1	0.0154	FALSE
TCGA-BH-A5IZ	AKT1	0.019200000000000002	FALSE
TCGA-BH-A5J0	AKT1	0.0157	FALSE
TCGA-BH-A6R8	AKT1	0.01905	FALSE
TCGA-BH-A6R9	AKT1	0.0179	FALSE
TCGA-BH-A8FY	AKT1	0.023	FALSE
TCGA-BH-A8FZ	AKT1	0.0198	FALSE
TCGA-BH-A8G0	AKT1	0.016900000000000002	FALSE
TCGA-BH-AB28	AKT1	0.02405	FALSE
TCGA-C8-A1HE	AKT1	0.01555	FALSE
TCGA-C8-A1HF	AKT1	0.01755	FALSE
TCGA-C8-A1HG	AKT1	0.0175	FALSE
TCGA-C8-A1HI	AKT1	0.0148	FALSE
TCGA-C8-A1HJ	AKT1	0.01295	FALSE
TCGA-C8-A1HK	AKT1	0.0208	FALSE
TCGA-C8-A1HL	AKT1	0.01415	FALSE
TCGA-C8-A1HM	AKT1	0.0159	FALSE
TCGA-C8-A1HN	AKT1	0.0196	FALSE
TCGA-C8-A1HO	AKT1	0.01375	FALSE
TCGA-C8-A26V	AKT1	0.0203	FALSE
TCGA-C8-A26W	AKT1	0.02175	FALSE
TCGA-C8-A26X	AKT1	0.018000000000000002	FALSE
TCGA-C8-A26Y	AKT1	0.0205	FALSE
TCGA-C8-A26Z	AKT1	0.01975	FALSE
TCGA-C8-A273	AKT1	0.02215	FALSE
TCGA-C8-A274	AKT1	0.0182	FALSE
TCGA-C8-A275	AKT1	0.02225	FALSE
TCGA-C8-A278	AKT1	0.0188	FALSE
TCGA-C8-A27A	AKT1	0.017499999999999998	FALSE
TCGA-C8-A27B	AKT1	0.017849999999999998	FALSE
TCGA-C8-A3M7	AKT1	0.01755	FALSE
TCGA-C8-A3M8	AKT1	0.018250000000000002	FALSE
TCGA-C8-A8HP	AKT1	0.01805	FALSE
TCGA-C8-A8HQ	AKT1	0.02	FALSE
TCGA-C8-A8HR	AKT1	0.0189	FALSE
